listing_id,restaurant_id,date,item_name,original_price,discount_pct,discounted_price,quantity_listed,quantity_sold,quantity_wasted,option,posted_time,revenue_rescued,money_saved,food_rescued_pct,area_cluster,category,ward
L00039,R012,2026-06-01,Phở bò viên,46000,59,19000,2,1,1,delivery,20:15,19000,27000,0.5,Dân cư đông,Phở,Phường Khánh Hội
L00040,R012,2026-06-01,Phở bò chín,46000,58,19000,2,1,1,delivery,20:30,19000,27000,0.5,Dân cư đông,Phở,Phường Khánh Hội
L00041,R013,2026-06-01,Phở gà,48000,50,24000,4,2,2,delivery,12:45,48000,48000,0.5,Sinh viên,Phở,Phường Long Bình
L00042,R013,2026-06-01,Phở bò tái nạm,50000,46,27000,3,2,1,delivery,12:15,54000,46000,0.667,Sinh viên,Phở,Phường Long Bình
L00043,R013,2026-06-01,Phở bò viên,46000,54,21000,4,3,1,delivery,12:15,63000,75000,0.75,Sinh viên,Phở,Phường Long Bình
L00044,R013,2026-06-01,Phở bò tái,60000,46,32000,4,2,2,delivery,12:45,64000,56000,0.5,Sinh viên,Phở,Phường Long Bình
L00045,R013,2026-06-01,Phở bò chín,45000,47,24000,4,2,2,pickup,12:15,48000,42000,0.5,Sinh viên,Phở,Phường Long Bình
L00046,R014,2026-06-01,Bánh mì thịt nguội,26000,55,12000,1,0,1,delivery,12:15,0,0,0.0,Sinh viên,Bánh mì,Phường An Khánh
L00047,R014,2026-06-01,Bánh mì chả lụa,29000,57,12000,1,0,1,delivery,12:00,0,0,0.0,Sinh viên,Bánh mì,Phường An Khánh
L00048,R015,2026-06-01,Hủ tiếu sa tế,50000,46,27000,5,2,3,pickup,13:45,54000,46000,0.4,Sinh viên,Hủ tiếu,Phường Hiệp Bình
L00049,R015,2026-06-01,Hủ tiếu Nam Vang,52000,39,32000,6,2,4,delivery,13:15,64000,40000,0.333,Sinh viên,Hủ tiếu,Phường Hiệp Bình
L00050,R015,2026-06-01,Hủ tiếu thập cẩm,51000,39,31000,5,2,3,delivery,13:00,62000,40000,0.4,Sinh viên,Hủ tiếu,Phường Hiệp Bình
L00051,R016,2026-06-01,Phở gà,55000,47,29000,3,1,2,delivery,16:45,29000,26000,0.333,Sinh viên,Phở,Phường Tăng Nhơn Phú
L00052,R016,2026-06-01,Phở bò tái,43000,46,23000,4,2,2,pickup,16:45,46000,40000,0.5,Sinh viên,Phở,Phường Tăng Nhơn Phú
L00053,R016,2026-06-01,Phở bò tái nạm,48000,48,25000,4,2,2,delivery,16:15,50000,46000,0.5,Sinh viên,Phở,Phường Tăng Nhơn Phú
L00054,R017,2026-06-01,Cơm tấm bì,34000,34,22000,19,6,13,delivery,13:00,132000,72000,0.316,Công nhân,Cơm tấm,Phường Dĩ An
L00055,R018,2026-06-01,Cơm tấm sườn nướng,32000,41,19000,2,1,1,delivery,16:00,19000,13000,0.5,Công nhân,Cơm tấm,Phường Lái Thiêu
L00056,R019,2026-06-01,Bún bò gân,51000,41,30000,7,4,3,delivery,18:45,120000,84000,0.571,Sinh viên,Bún bò,Phường Long Bình
L00057,R019,2026-06-01,Bún bò giò heo,42000,42,24000,7,3,4,delivery,18:00,72000,54000,0.429,Sinh viên,Bún bò,Phường Long Bình
L00058,R020,2026-06-01,Phở bò viên,47000,43,27000,2,1,1,delivery,09:00,27000,20000,0.5,Công nhân,Phở,Phường Đông Hòa
L00059,R020,2026-06-01,Phở gà,42000,38,26000,1,0,1,delivery,09:15,0,0,0.0,Công nhân,Phở,Phường Đông Hòa
L00060,R020,2026-06-01,Phở bò tái nạm,57000,37,36000,2,0,2,delivery,09:15,0,0,0.0,Công nhân,Phở,Phường Đông Hòa
L00061,R020,2026-06-01,Phở bò chín,48000,41,28000,2,1,1,delivery,09:45,28000,20000,0.5,Công nhân,Phở,Phường Đông Hòa
L00062,R021,2026-06-01,Hủ tiếu sa tế,46000,36,29000,3,1,2,pickup,20:30,29000,17000,0.333,Sinh viên,Hủ tiếu,Phường Bình Trưng
L00063,R021,2026-06-01,Hủ tiếu thập cẩm,50000,36,32000,3,1,2,pickup,20:15,32000,18000,0.333,Sinh viên,Hủ tiếu,Phường Bình Trưng
L00064,R022,2026-06-01,Bánh mì trứng,22000,56,10000,2,1,1,delivery,18:15,10000,12000,0.5,Sinh viên,Bánh mì,Phường Long Bình
L00065,R022,2026-06-01,Bánh mì chả lụa,29000,60,12000,2,1,1,delivery,18:30,12000,17000,0.5,Sinh viên,Bánh mì,Phường Long Bình
L00066,R022,2026-06-01,Bánh mì thịt nguội,26000,60,10000,2,1,1,pickup,18:00,10000,16000,0.5,Sinh viên,Bánh mì,Phường Long Bình
L00067,R022,2026-06-01,Bánh mì gà,24000,58,10000,2,1,1,pickup,18:00,10000,14000,0.5,Sinh viên,Bánh mì,Phường Long Bình
L00068,R022,2026-06-01,Bánh mì xíu mại,19000,54,9000,2,1,1,delivery,18:15,9000,10000,0.5,Sinh viên,Bánh mì,Phường Long Bình
L00069,R023,2026-06-01,Bánh mì trứng,27000,34,18000,3,1,2,delivery,17:45,18000,9000,0.333,Công nhân,Bánh mì,Phường Tân Đông Hiệp
L00070,R023,2026-06-01,Bánh mì xíu mại,22000,36,14000,3,1,2,delivery,17:00,14000,8000,0.333,Công nhân,Bánh mì,Phường Tân Đông Hiệp
L00071,R024,2026-06-01,Hủ tiếu bò kho,51000,50,26000,17,13,4,pickup,14:00,338000,325000,0.765,Công nhân,Hủ tiếu,Phường An Phú
L00072,R025,2026-06-01,Cơm thịt kho trứng,43000,33,29000,2,1,1,delivery,11:00,29000,14000,0.5,Dân cư đông,Cơm văn phòng,Phường An Hội Đông
L00073,R025,2026-06-01,Cơm sườn đậu hũ,29000,36,19000,1,0,1,pickup,11:30,0,0,0.0,Dân cư đông,Cơm văn phòng,Phường An Hội Đông
L00074,R025,2026-06-01,Cơm gà xối mỡ,51000,35,33000,2,1,1,pickup,11:00,33000,18000,0.5,Dân cư đông,Cơm văn phòng,Phường An Hội Đông
L00075,R025,2026-06-01,Cơm canh chua,36000,34,24000,2,0,2,pickup,11:15,0,0,0.0,Dân cư đông,Cơm văn phòng,Phường An Hội Đông
L00076,R025,2026-06-01,Cơm gà luộc,38000,32,26000,1,0,1,delivery,11:00,0,0,0.0,Dân cư đông,Cơm văn phòng,Phường An Hội Đông
L00077,R026,2026-06-01,Bún riêu cua đồng,43000,37,27000,4,1,3,delivery,16:00,27000,16000,0.25,Sinh viên,Bún riêu,Phường Tam Bình
L00078,R027,2026-06-01,Bún bò thập cẩm,45000,30,31000,2,0,2,pickup,17:15,0,0,0.0,Công nhân,Bún bò,Phường Hòa Lợi
L00079,R028,2026-06-01,Bánh mì thịt nguội,19000,60,8000,6,5,1,pickup,14:45,40000,55000,0.833,Công nhân,Bánh mì,Phường Tân Đông Hiệp
L00080,R029,2026-06-01,Phở bò chín,43000,56,19000,1,0,1,pickup,19:00,0,0,0.0,Trung tâm,Phở,Phường Bến Thành
L00081,R029,2026-06-01,Phở bò tái nạm,57000,56,25000,1,0,1,pickup,19:45,0,0,0.0,Trung tâm,Phở,Phường Bến Thành
L00082,R029,2026-06-01,Phở bò viên,61000,52,29000,1,0,1,delivery,19:30,0,0,0.0,Trung tâm,Phở,Phường Bến Thành
L00083,R029,2026-06-01,Phở gà,50000,56,22000,1,0,1,pickup,19:30,0,0,0.0,Trung tâm,Phở,Phường Bến Thành
L00084,R030,2026-06-01,Bún bò Huế đặc biệt,45000,56,20000,10,7,3,delivery,15:15,140000,175000,0.7,Công nhân,Bún bò,Phường An Phú
L00085,R030,2026-06-01,Bún bò gân,44000,51,22000,11,10,1,pickup,15:15,220000,220000,0.909,Công nhân,Bún bò,Phường An Phú
L00086,R031,2026-06-01,Phở bò chín,51000,39,31000,6,3,3,pickup,09:45,93000,60000,0.5,Sinh viên,Phở,Phường Phước Long
L00087,R031,2026-06-01,Phở gà,58000,46,31000,5,3,2,pickup,09:00,93000,81000,0.6,Sinh viên,Phở,Phường Phước Long
L00088,R032,2026-06-01,Cơm thịt kho trứng,52000,37,33000,5,2,3,delivery,13:15,66000,38000,0.4,Trung tâm,Cơm văn phòng,Phường Cầu Ông Lãnh
L00089,R033,2026-06-01,Cơm tấm sườn trứng,29000,50,14000,1,0,1,pickup,13:00,0,0,0.0,Dân cư đông,Cơm tấm,Phường Tân Hòa
L00090,R033,2026-06-01,Cơm tấm đặc biệt,30000,42,17000,1,0,1,pickup,13:00,0,0,0.0,Dân cư đông,Cơm tấm,Phường Tân Hòa
L00091,R033,2026-06-01,Cơm tấm bì,39000,46,21000,2,1,1,pickup,13:15,21000,18000,0.5,Dân cư đông,Cơm tấm,Phường Tân Hòa
L00092,R033,2026-06-01,Cơm tấm sườn nướng,34000,50,17000,2,1,1,pickup,13:30,17000,17000,0.5,Dân cư đông,Cơm tấm,Phường Tân Hòa
L00093,R033,2026-06-01,Cơm tấm sườn bì chả,33000,42,19000,1,0,1,pickup,13:45,0,0,0.0,Dân cư đông,Cơm tấm,Phường Tân Hòa
L00094,R034,2026-06-01,Bún bò Huế đặc biệt,48000,32,33000,4,2,2,delivery,18:45,66000,30000,0.5,Ngoại ô,Bún bò,Xã Bình Chánh
L00095,R034,2026-06-01,Bún bò thập cẩm,61000,37,38000,6,2,4,delivery,18:30,76000,46000,0.333,Ngoại ô,Bún bò,Xã Bình Chánh
L00096,R035,2026-06-01,Bánh mì gà,30000,52,14000,1,0,1,delivery,12:15,0,0,0.0,Dân cư đông,Bánh mì,Phường Tân Sơn Nhất
L00097,R035,2026-06-01,Bánh mì xíu mại,24000,53,11000,1,0,1,delivery,12:45,0,0,0.0,Dân cư đông,Bánh mì,Phường Tân Sơn Nhất
L00098,R035,2026-06-01,Bánh mì trứng,23000,57,10000,1,0,1,delivery,12:00,0,0,0.0,Dân cư đông,Bánh mì,Phường Tân Sơn Nhất
L00099,R035,2026-06-01,Bánh mì thịt nguội,20000,58,8000,1,0,1,delivery,12:00,0,0,0.0,Dân cư đông,Bánh mì,Phường Tân Sơn Nhất
L00100,R035,2026-06-01,Bánh mì chả lụa,23000,52,11000,1,0,1,delivery,12:15,0,0,0.0,Dân cư đông,Bánh mì,Phường Tân Sơn Nhất
L00101,R036,2026-06-01,Bún bò viên,40000,39,24000,4,1,3,delivery,14:30,24000,16000,0.25,Sinh viên,Bún bò,Phường Phước Long
L00102,R036,2026-06-01,Bún bò Huế đặc biệt,50000,38,31000,3,1,2,delivery,14:45,31000,19000,0.333,Sinh viên,Bún bò,Phường Phước Long
L00103,R036,2026-06-01,Bún bò gân,51000,32,35000,4,2,2,delivery,14:00,70000,32000,0.5,Sinh viên,Bún bò,Phường Phước Long
L00104,R037,2026-06-01,Bún bò gân,49000,42,28000,6,3,3,delivery,15:15,84000,63000,0.5,Trung tâm,Bún bò,Phường Tân Định
L00105,R038,2026-06-01,Bún bò viên,38000,52,18000,2,1,1,pickup,17:15,18000,20000,0.5,Công nhân,Bún bò,Phường Thuận Giao
L00106,R038,2026-06-01,Bún bò gân,56000,44,31000,1,0,1,pickup,17:00,0,0,0.0,Công nhân,Bún bò,Phường Thuận Giao
L00107,R039,2026-06-01,Bún riêu cua mọc,37000,60,15000,19,15,4,pickup,09:30,225000,330000,0.789,Công nhân,Bún riêu,Phường Đông Hòa
L00108,R040,2026-06-01,Bún bò viên,41000,56,18000,1,0,1,delivery,14:30,0,0,0.0,Sinh viên,Bún bò,Phường Bình Trưng
L00109,R041,2026-06-01,Phở bò viên,46000,49,23000,3,2,1,delivery,15:30,46000,46000,0.667,Công nhân,Phở,Phường Tân Khánh
L00110,R041,2026-06-01,Phở gà,43000,50,22000,3,2,1,delivery,15:00,44000,42000,0.667,Công nhân,Phở,Phường Tân Khánh
L00111,R042,2026-06-01,Cơm tấm bì,37000,56,16000,3,2,1,delivery,11:45,32000,42000,0.667,Trung tâm,Cơm tấm,Phường Tân Định
L00112,R042,2026-06-01,Cơm tấm đặc biệt,39000,60,16000,3,2,1,delivery,11:15,32000,46000,0.667,Trung tâm,Cơm tấm,Phường Tân Định
L00113,R042,2026-06-01,Cơm tấm sườn nướng,34000,60,14000,3,2,1,pickup,11:00,28000,40000,0.667,Trung tâm,Cơm tấm,Phường Tân Định
L00114,R043,2026-06-01,Cơm canh chua,37000,60,15000,2,1,1,pickup,16:15,15000,22000,0.5,Dân cư đông,Cơm văn phòng,Phường Bảy Hiền
L00115,R043,2026-06-01,Cơm thịt kho trứng,47000,60,19000,2,1,1,pickup,16:30,19000,28000,0.5,Dân cư đông,Cơm văn phòng,Phường Bảy Hiền
L00116,R043,2026-06-01,Cơm gà xối mỡ,52000,59,21000,2,1,1,pickup,16:45,21000,31000,0.5,Dân cư đông,Cơm văn phòng,Phường Bảy Hiền
L00117,R043,2026-06-01,Cơm sườn đậu hũ,26000,59,11000,3,2,1,pickup,16:45,22000,30000,0.667,Dân cư đông,Cơm văn phòng,Phường Bảy Hiền
L00118,R043,2026-06-01,Cơm gà luộc,45000,55,20000,3,2,1,pickup,16:45,40000,50000,0.667,Dân cư đông,Cơm văn phòng,Phường Bảy Hiền
L00119,R044,2026-06-01,Hủ tiếu sa tế,61000,48,32000,2,1,1,delivery,13:00,32000,29000,0.5,Sinh viên,Hủ tiếu,Phường Tam Bình
L00120,R044,2026-06-01,Hủ tiếu thập cẩm,52000,50,26000,3,2,1,delivery,13:45,52000,52000,0.667,Sinh viên,Hủ tiếu,Phường Tam Bình
L00121,R044,2026-06-01,Hủ tiếu Nam Vang,49000,50,24000,3,2,1,delivery,13:30,48000,50000,0.667,Sinh viên,Hủ tiếu,Phường Tam Bình
L00122,R045,2026-06-01,Bún bò gân,40000,40,24000,4,2,2,delivery,17:30,48000,32000,0.5,Công nhân,Bún bò,Phường Thuận An
L00123,R045,2026-06-01,Bún bò Huế đặc biệt,46000,36,29000,4,2,2,pickup,17:15,58000,34000,0.5,Công nhân,Bún bò,Phường Thuận An
L00124,R045,2026-06-01,Bún bò thập cẩm,52000,44,29000,3,1,2,delivery,17:00,29000,23000,0.333,Công nhân,Bún bò,Phường Thuận An
L00125,R046,2026-06-01,Bánh mì xíu mại,27000,51,13000,3,2,1,pickup,13:00,26000,28000,0.667,Sinh viên,Bánh mì,Phường Cát Lái
L00126,R046,2026-06-01,Bánh mì trứng,25000,52,12000,2,1,1,pickup,13:15,12000,13000,0.5,Sinh viên,Bánh mì,Phường Cát Lái
L00127,R046,2026-06-01,Bánh mì thịt nguội,28000,55,13000,3,2,1,pickup,13:45,26000,30000,0.667,Sinh viên,Bánh mì,Phường Cát Lái
L00128,R046,2026-06-01,Bánh mì chả lụa,21000,55,9000,3,2,1,pickup,13:00,18000,24000,0.667,Sinh viên,Bánh mì,Phường Cát Lái
L00129,R046,2026-06-01,Bánh mì gà,30000,55,13000,2,1,1,pickup,13:00,13000,17000,0.5,Sinh viên,Bánh mì,Phường Cát Lái
L00130,R047,2026-06-01,Bún bò Huế đặc biệt,50000,47,26000,30,21,9,delivery,17:45,546000,504000,0.7,Công nhân,Bún bò,Phường Tân Khánh
L00131,R048,2026-06-01,Bánh mì xíu mại,34000,56,15000,4,2,2,delivery,18:30,30000,38000,0.5,Công nhân,Bánh mì,Phường An Phú
L00132,R048,2026-06-01,Bánh mì gà,20000,49,10000,3,2,1,pickup,18:00,20000,20000,0.667,Công nhân,Bánh mì,Phường An Phú
L00133,R049,2026-06-01,Phở bò tái,50000,43,28000,1,0,1,delivery,12:45,0,0,0.0,Sinh viên,Phở,Phường Thủ Đức
L00134,R049,2026-06-01,Phở bò chín,37000,38,23000,1,0,1,delivery,12:30,0,0,0.0,Sinh viên,Phở,Phường Thủ Đức
L00135,R049,2026-06-01,Phở bò tái nạm,55000,45,30000,1,0,1,delivery,12:30,0,0,0.0,Sinh viên,Phở,Phường Thủ Đức
L00136,R049,2026-06-01,Phở gà,59000,45,32000,1,0,1,delivery,12:00,0,0,0.0,Sinh viên,Phở,Phường Thủ Đức
L00137,R050,2026-06-01,Bánh mì chả lụa,30000,43,17000,1,0,1,pickup,17:15,0,0,0.0,Ngoại ô,Bánh mì,Xã Hưng Long
L00138,R051,2026-06-01,Hủ tiếu thập cẩm,40000,56,18000,4,3,1,pickup,13:00,54000,66000,0.75,Dân cư đông,Hủ tiếu,Phường Hạnh Thông
L00139,R052,2026-06-01,Cơm tấm sườn trứng,45000,34,30000,3,1,2,delivery,18:30,30000,15000,0.333,Dân cư đông,Cơm tấm,Phường Xóm Chiếu
L00140,R052,2026-06-01,Cơm tấm bì,40000,42,23000,3,2,1,delivery,18:15,46000,34000,0.667,Dân cư đông,Cơm tấm,Phường Xóm Chiếu
L00141,R052,2026-06-01,Cơm tấm sườn nướng,26000,42,15000,4,2,2,delivery,18:45,30000,22000,0.5,Dân cư đông,Cơm tấm,Phường Xóm Chiếu
L00142,R053,2026-06-01,Bánh mì chả lụa,22000,55,10000,3,2,1,delivery,17:30,20000,24000,0.667,Dân cư đông,Bánh mì,Phường Gia Định
L00143,R053,2026-06-01,Bánh mì gà,19000,60,8000,3,2,1,delivery,17:00,16000,22000,0.667,Dân cư đông,Bánh mì,Phường Gia Định
L00144,R053,2026-06-01,Bánh mì xíu mại,22000,60,9000,4,3,1,delivery,17:00,27000,39000,0.75,Dân cư đông,Bánh mì,Phường Gia Định
L00145,R053,2026-06-01,Bánh mì trứng,32000,60,13000,3,2,1,delivery,17:45,26000,38000,0.667,Dân cư đông,Bánh mì,Phường Gia Định
L00146,R053,2026-06-01,Bánh mì thịt nguội,20000,60,8000,3,2,1,delivery,17:30,16000,24000,0.667,Dân cư đông,Bánh mì,Phường Gia Định
L00147,R054,2026-06-01,Bánh mì thịt nguội,20000,56,9000,3,2,1,delivery,11:30,18000,22000,0.667,Công nhân,Bánh mì,Phường Bình Hòa
L00148,R054,2026-06-01,Bánh mì trứng,24000,49,12000,3,1,2,delivery,11:30,12000,12000,0.333,Công nhân,Bánh mì,Phường Bình Hòa
L00149,R054,2026-06-01,Bánh mì gà,22000,55,10000,3,2,1,delivery,11:15,20000,24000,0.667,Công nhân,Bánh mì,Phường Bình Hòa
L00150,R054,2026-06-01,Bánh mì chả lụa,24000,49,12000,4,2,2,delivery,11:15,24000,24000,0.5,Công nhân,Bánh mì,Phường Bình Hòa
L00151,R055,2026-06-01,Cơm tấm sườn nướng,33000,60,13000,1,0,1,delivery,12:00,0,0,0.0,Dân cư đông,Cơm tấm,Phường Thông Tây Hội
L00152,R055,2026-06-01,Cơm tấm bì,32000,55,14000,2,1,1,pickup,12:30,14000,18000,0.5,Dân cư đông,Cơm tấm,Phường Thông Tây Hội
L00153,R055,2026-06-01,Cơm tấm sườn bì chả,42000,60,17000,1,0,1,pickup,12:45,0,0,0.0,Dân cư đông,Cơm tấm,Phường Thông Tây Hội
L00154,R055,2026-06-01,Cơm tấm sườn trứng,33000,60,13000,2,1,1,delivery,12:30,13000,20000,0.5,Dân cư đông,Cơm tấm,Phường Thông Tây Hội
L00155,R055,2026-06-01,Cơm tấm đặc biệt,45000,57,19000,2,1,1,delivery,12:15,19000,26000,0.5,Dân cư đông,Cơm tấm,Phường Thông Tây Hội
L00156,R056,2026-06-01,Hủ tiếu sa tế,55000,33,37000,4,2,2,delivery,17:00,74000,36000,0.5,Trung tâm,Hủ tiếu,Phường Nhiêu Lộc
L00157,R056,2026-06-01,Hủ tiếu bò kho,53000,39,32000,4,1,3,delivery,17:45,32000,21000,0.25,Trung tâm,Hủ tiếu,Phường Nhiêu Lộc
L00158,R057,2026-06-01,Bún bò gân,62000,50,31000,1,0,1,pickup,18:00,0,0,0.0,Sinh viên,Bún bò,Phường Bình Trưng
L00159,R057,2026-06-01,Bún bò viên,48000,52,23000,1,0,1,pickup,18:00,0,0,0.0,Sinh viên,Bún bò,Phường Bình Trưng
L00160,R058,2026-06-01,Bánh mì gà,23000,38,14000,1,0,1,pickup,19:00,0,0,0.0,Trung tâm,Bánh mì,Phường Cầu Kiệu
L00161,R058,2026-06-01,Bánh mì trứng,26000,34,17000,1,0,1,pickup,19:00,0,0,0.0,Trung tâm,Bánh mì,Phường Cầu Kiệu
L00162,R058,2026-06-01,Bánh mì chả lụa,24000,30,17000,1,0,1,pickup,19:00,0,0,0.0,Trung tâm,Bánh mì,Phường Cầu Kiệu
L00163,R058,2026-06-01,Bánh mì xíu mại,26000,33,17000,1,0,1,pickup,19:00,0,0,0.0,Trung tâm,Bánh mì,Phường Cầu Kiệu
L00164,R059,2026-06-01,Cơm tấm sườn trứng,34000,33,23000,2,0,2,delivery,14:00,0,0,0.0,Sinh viên,Cơm tấm,Phường Tam Bình
L00165,R059,2026-06-01,Cơm tấm sườn nướng,36000,34,24000,1,0,1,delivery,14:15,0,0,0.0,Sinh viên,Cơm tấm,Phường Tam Bình
L00166,R060,2026-06-01,Phở bò chín,44000,58,18000,3,2,1,delivery,10:45,36000,52000,0.667,Công nhân,Phở,Phường Tân Đông Hiệp
L00167,R061,2026-06-01,Cơm tấm đặc biệt,37000,48,19000,4,3,1,pickup,15:00,57000,54000,0.75,Sinh viên,Cơm tấm,Phường Tam Bình
L00168,R061,2026-06-01,Cơm tấm sườn nướng,38000,43,22000,4,2,2,delivery,15:15,44000,32000,0.5,Sinh viên,Cơm tấm,Phường Tam Bình
L00169,R062,2026-06-01,Phở bò tái nạm,47000,35,31000,1,0,1,delivery,10:00,0,0,0.0,Dân cư đông,Phở,Phường Hạnh Thông
